,정류소명,Y좌표,X좌표
8330,홈플러스금천점,37.4691022189,126.8976467771
8331,홈플러스금천점,37.4685923676,126.8981744044
8332,시흥사거리,37.4529756887,126.9007975435
8333,문일고입구,37.4508994421,126.9016623614
8334,문일고입구,37.4508025778,126.9023183704
8335,남서울힐스테이트.국립전통예술고,37.446725847,126.903282091
8336,금천폭포공원.천주교시흥성당,37.4477127549,126.9035170378
8337,박미마을,37.44150022,126.9031780644
8338,박미마을.금천고등학교,37.4432120532,126.9039638048
8339,기아대교,37.4394878782,126.9029828892
8340,시흥3동주민센터앞,37.4401670279,126.9036271602
8341,석수역,37.4355241561,126.9033111984
8342,백산초등학교,37.4487629236,126.9039779583
8343,백산초등학교,37.4486234553,126.9042290499
8344,은행나무입구사거리,37.4511117717,126.9057879216
8345,은행나무입구사거리,37.4513327593,126.9060589119
8346,경남아파트,37.4536154301,126.9062606441
8347,시흥초등학교.금천구보훈회관,37.4545675549,126.9058231484
8348,시흥초등학교.금천구보훈회관,37.4553525174,126.905944241
8349,동산교회앞,37.4573470454,126.9052838667
8350,동산교회앞,37.457026515,126.9056143381
8351,현대시장.시흥4동주민센터,37.4596021512,126.9048243385
8352,현대시장.시흥4동주민센터,37.4592401831,126.9051695693
8353,남부여성발전센터,37.462302231,126.9041539527
8354,남부여성발전센터,37.4624573826,126.9043527136
8355,독산동정훈단지,37.4654381798,126.9020698412
8356,독산동정훈단지,37.464452239,126.9030060331
8357,독산초등학교,37.466593,126.899411
8358,독산초등학교,37.4663141528,126.900032656
8359,독산4동주민센터,37.467345751,126.9019814332
8360,독산동성당앞,37.4689156821,126.9022258423
8361,독산동성당앞,37.4697072815,126.9027437373
8362,독산동쌈지공원,37.4712654618,126.9029463536
8363,독산동쌈지공원,37.4711737409,126.9031805022
8364,독산3동주민센터,37.4753270832,126.9033549166
8365,독산3동주민센터,37.4758229255,126.9036414631
8366,모두의학교.금천문화예술정보학교,37.4788389714,126.9036963865
8367,모두의학교.금천문화예술정보학교,37.4786589447,126.9039351937
8368,모두의학교.금천문화예술정보학교,37.4799497631,126.9055934267
8369,관악구보훈회관.신림푸르지오,37.480638846,126.9087572914
8370,독산고등학교,37.477250616,126.9111177942
8371,독산고등학교,37.4770861994,126.9116121885
8372,독산3치안센터.꿈꾸는나무,37.4768710399,126.9070949887
8373,독산3치안센터.꿈꾸는나무,37.4765368492,126.9073310231
8374,금천우체국.독산1동주민센터,37.4697576129,126.8972649852
8375,진도아파트,37.4704156228,126.8924286434
8376,제일모직아울렛,37.4747106295,126.8860547622
8377,벽산디지털밸리,37.4765761338,126.8852483694
8378,마리오아울렛,37.4785459121,126.8843811699
8379,국민연금공단구로금천지사앞,37.480679497,126.8841438228
8380,가산디지털단지역,37.4811044649,126.8828710961
8381,마리오아울렛,37.4789085581,126.8838717978
8382,벽산디지털밸리,37.4763514201,126.8849973673
8383,제일모직아울렛,37.4742761541,126.8859073098
8384,진도아파트,37.4701992555,126.8923170276
8385,현대지식산업센터,37.469907,126.895545
8386,가산디지털단지역입구,37.4813380488,126.8867860601
